"Product","Price"
"14109350001","100.00"
"13603110000","110.00"
"30165000","69.00"
"21040111701","3.00"
"10110340040","3.99"
"10110340030","6.99"
"10908110010","2.99"
"10114110120","6.99"
"06119102005","1.90"
"10114110110","6.99"
"10109070120","275.00"
"09560006206","24.99"
"09560006006","24.99"
"21040300201","6.99"
"01824080205","1.99"
"10401180000","55.99"
"10401190000","55.99"
"15114050080","9.99"
"10106010080","45.00"
"15106010060","45.00"
"09561726203","39.99"
"13606010650","44.00"
"13606010660","44.00"
"10709070020","49.99"
"21040300301","5.99"
"11010042628","6.99"
"11010038627","6.99"
"11010042627","6.99"
"11010038558","6.99"
"11010038557","6.99"
"10909410000","209.00"
"13611050000","14.99"
"13608860000","59.99"
"13608080020","49.99"
"13608070020","49.99"
"21040102001","6.99"
"21040100901","4.99"
"21040106901","14.99"
"21040106401","19.99"
"21040408901","9.99"
"21040101901","8.99"
"21040201501","6.99"
"21040106001","16.00"
"21040107831","46.00"
"21040104201","6.99"
"21040107101","20.00"
"21040104001","29.99"
"21040113901","34.99"
"21040107301","16.00"
"21040107821","6.99"
"21040114501","6.99"
"21040115701","6.99"
"21040102401","16.99"
"21040101801","59.99"
"21040100701","18.99"
"21040102701","6.99"
"21040108501","6.99"
"21040108601","8.99"
"21040108301","6.99"
"21040108401","6.99"
"21040201801","14.99"
"21040102801","5.99"
"21040102601","3.99"
"21040113001","5.99"
"21040102501","6.99"
"21040115901","6.99"
"21040200801","14.99"
"21040114301","9.99"
"21040111301","34.99"
"21040116201","6.99"
"21040114101","9.99"
"21040100101","39.99"
"21040116901","3.99"
"21040106101","14.99"
"21040102901","6.99"
"21040105801","6.99"
"21040103801","49.99"
"21040100601","18.99"
"21040106201","3.99"
"21040104601","6.99"
"21040109118","6.99"
"21040101501","104.99"
"21040102201","19.99"
"10907040001","46.75"
"21040101401","104.99"
"21040303801","250.00"
"10109430000","79.99"
"10903100090","14.99"
"21040400101","9.99"
"21040200101","99.99"
"21040400201","69.99"
"21040111401","6.99"
"21040114001","19.99"
"21040108701","9.99"
"21040108801","6.99"
"21040110901","49.99"
"21040302101","39.99"
"14209010180","8.99"
"21040401401","6.99"
"21040103001","49.99"
"13210260150","2.99"
"21040402202","19.99"
"21040401011","2.99"
"21040102101","49.99"
"21040108201","99.99"
"21040400301","24.99"
"21040400401","24.99"
"21040303303","1100.00"
"21050831000","249.99"
"13207030010","2.99"
"10907040010","2.99"
"21040401302","34.99"
"13605110000","39.99"
"10109330000","14.99"
"10409340000","8.99"
"10109360000","99.99"
"21040400601","329.99"
"21040401001","59.99"
"14105140000","99.99"
"14105150000","99.99"
"13611070000","49.99"
"21040107801","119.99"
"13210260130","11.99"
"21040116101","14.99"
"10909320000","35.00"
"21040302001","149.99"
"21040300101","109.99"
"10110550020","24.99"
"10110290020","45.99"
"13609020010","399.99"
"10110290010","49.99"
"A03E11120001","83.00"
"A02E11320001","70.98"
"04712100022","1.50"
"F01G00500001","15.50"
"13609070120","89.99"
"10914150050","59.99"
"21040109001","159.99"
"10110340300","6.99"
"A01D11010001","35.00"
"A01D12010001","35.00"
"13609120050","19.99"
"13610080011","119.99"
"13610080021","119.99"
