Price,Product,Description,UOM,Available
430.00,0008,SYA Warrior Riser Snorkel kit for Arctic Cat Wildcat 700,ea,1
132.00,001-1203,Out & Back XT 26x9-12,ea,0
150.00,001-1204,Out & Back XT 26X11-12,ea,0
205.00,001-1313,Out & Back Max 26x10-12,ea,4
220.00,001-1315,Out & Back Max 27x10-12,ea,0
250.00,001-1323,Out & Back Max 27x10-14,ea,8
250.00,001-1324,Out & Back Max 28x9.5-14,ea,4
305.00,001-1325,Out & Back Max 28x10-14,ea,6
293.00,001-1326,Out & Back Max 30x9.5-14,ea,4
327.00,001-1327,Out & Back Max 30x10-14,ea,4
305.00,001-1328,Out & Back Max 32x9.5-14,ea,0
370.00,001-1329,Out & Back Max 32x10-14,ea,8
255.00,00100,SYA Warrior Riser Extension Kit for Polaris Highlifter 850/1000,ea,2
415.00,0014,SYA Warrior Riser Snorkel kit for Can-Am Commander 800 1000 2 seater 2011-2017,ea,1
515.00,0015,SYA Defender WR Snorkel Kit HD8/10,ea,1
435.00,00167,SYA RZR Turbo Snorkel Kit,ea,1
445.00,00191,SYA Warrior Riser Snorkel kit for CF Moto CForce 800 18-21,ea,0
164.00,002-3015,Track & Trail 26x8-12,ea,3
480.00,0020,SYA Warrior Riser Snorkel kit for Maverick X3 Turbo 17-19,ea,1
378.00,0023,SYA Warrior Riser Snorkel kit for Can-Am Outlander G2 2012 - 2022,ea,2
410.00,0024,SYA - Outlander G1 2006-2011 Warrier Riser Snorkel Kit,ea,2
396.00,0025,SYA Warrior Riser Snorkel kit for Can-Am Outlander G2 XMR 2013 - 2022,ea,3
378.00,0027,SYA Traditional Riser Snorkel Kit for Can-Am Outlander G2,ea,4
139.00,003-3011,Track & Trail 25X8-12,ea,5
160.00,003-3012,Track & Trail 25x10-12,ea,4
185.00,003-3017,Track & Trail 26x10-12,ea,2
205.00,003-3021,Track & Trail 27X9-14,ea,2
225.00,003-3023,Track & Trail 27X11-14,ea,2
350.00,0031,SYA Traditional Riser Snorkel Kit for Can-Am Renegade G2 2012-2021,ea,0
